compound_name,Canonical Smile,Predicted pIC50,standard_value,Bioactivity
"20,20-Ethylenedioxy-3alpha-hydroxy-2alpha-methyl-5alpha-pregnane-11-one",CC1CC2(C(CCC3C2C(=O)CC4(C3CCC4C5(OCCO5)C)C)CC1O)C,5.20401,6251.582837507618,intermediate
"11alpha-Acetoxy-17alpha-hydroxy(5beta)pregnane-3,20-dione",CC(=O)C1(CCC2C1(CC(C3C2CCC4C3(CCC(=O)C4)C)OC(=O)C)C)O,4.4425693,36093.64513852991,inactive
"2-Naphthyl[(2S)-2-[[4-(3alpha,20-dihydroxy-5alpha-pregnane-2beta-yl)piperazino]carbonyl]pyrrolizino] ketone",CC(C1CCC2C1(CCC3C2CCC4C3(CC(C(C4)O)N5CCN(CC5)C(=O)C6CCCN6C(=O)C7=CC8=CC=CC=C8C=C7)C)C)O,4.449644,35510.42836453228,inactive
"3-Hydroxy-3beta-methyl-21-(2H-1,2,3-triazole-2-yl)-19-nor-5beta-pregnane-20-one",CC1(CCC2C(C1)CCC3C2CCC4(C3CCC4C(=O)CN5N=CC=N5)C)O,4.7628293,17265.163532299848,inactive
(20S)-7alpha-Fluoro-20-methyl-21-[3-(4-aminobutylamino)propylcarbamoyloxy]-5alpha-pregnane-3alpha-ol,CC(COC(=O)NCCCNCCCCN)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)F)C,4.381626,41531.14176953169,inactive
"2beta-Fluoro-3alpha-hydroxy-5alpha-pregnane-11,20-dione",CC(=O)C1CCC2C1(CC(=O)C3C2CCC4C3(CC(C(C4)O)F)C)C,4.6014295,25036.322521845734,inactive
"2beta-Azido-3alpha-hydroxy-5alpha-pregnane-11,20-dione",CC(=O)C1CCC2C1(CC(=O)C3C2CCC4C3(CC(C(C4)O)N=[N+]=[N-])C)C,4.6865664,20579.444474512624,inactive
"20,20-Ethylenedioxy-2alpha-methyl-5alpha-pregnane-3,11-dione",CC1CC2(C(CCC3C2C(=O)CC4(C3CCC4C5(OCCO5)C)C)CC1=O)C,5.0934396,8064.18386081978,intermediate
"21-Benzylthio-3alpha-hydroxy-5alpha-pregnane-11,20-dione",CC12CCC(CC1CCC3C2C(=O)CC4(C3CCC4C(=O)CSCC5=CC=CC=C5)C)O,5.801557,1579.2210925940085,intermediate
"21-Bromo-5alpha-pregnane-3,11,20-trione",CC12CCC(=O)CC1CCC3C2C(=O)CC4(C3CCC4C(=O)CBr)C,4.331779,46582.307384669766,inactive
"2beta-Ethoxy-3alpha-hydroxy-21-morpholino-5alpha-pregnane-11,20-dione",CCOC1CC2(C(CCC3C2C(=O)CC4(C3CCC4C(=O)CN5CCOCC5)C)CC1O)C,4.25731,55295.53780425411,inactive
"2beta-Ethoxy-3alpha-hydroxy-21-morpholino-5alpha-pregnane-11,20-dione acetate",CCOC1CC2(C(CCC3C2C(=O)CC4(C3CCC4C(=O)CN5CCOCC5)C)CC1O)C.CC(=O)O,4.2453814,56835.36386281414,inactive
"4beta,21-Dibromo-3alpha-hydroxy-5alpha-pregnane-11,20-dione",CC12CCC(C(C1CCC3C2C(=O)CC4(C3CCC4C(=O)CBr)C)Br)O,4.623549,23793.09920973619,inactive
"21-Butyryl-3alpha-hydroxy-5alpha-pregnane-11,20-dione",CCCC(=O)CC(=O)C1CCC2C1(CC(=O)C3C2CCC4C3(CCC(C4)O)C)C,4.217639,60584.43060426699,inactive
"3alpha-Hydroxy-21-dimethoxymethyl-5alpha-pregnane-11,20-dione",CC12CCC(CC1CCC3C2C(=O)CC4(C3CCC4C(=O)CC(OC)OC)C)O,4.6289706,23497.91762447629,inactive
"21-Ethylthiomethyl-3alpha-hydroxy-5alpha-pregnane-11,20-dione",CCSCCC(=O)C1CCC2C1(CC(=O)C3C2CCC4C3(CCC(C4)O)C)C,4.2997484,50147.76468340309,inactive
"21Hydroxymethyl-3alpha-tetrahydropyranyloxy-5alpha-pregnane-11,20-dione",CC12CCC(CC1CCC3C2C(=O)CC4(C3CCC4C(=O)CCO)C)OC5CCCCO5,4.0070305,98394.20315396944,inactive
"(2beta,3alpha,5alpha)-3-Hydroxy-2-(2,2-dimethyl-4-thiomorpholinyl)pregnane-11,20-dione 2-hydroxy-1,2,3-propanetricarboxylate",CC(=O)C1CCC2C1(CC(=O)C3C2CCC4C3(CC(C(C4)O)N5CCSC(C5)(C)C)C)C.C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O,4.624569,23737.28590960387,inactive
"(2beta,3alpha,5alpha)-21-(Acetylthio)-3-hydroxy-2-(2,2-dimethyl-4-morpholinyl)pregnane-11,20-dione methanesulfonate",CC(=O)SCC(=O)C1CCC2C1(CC(=O)C3C2CCC4C3(CC(C(C4)O)N5CCOC(C5)(C)C)C)C.CS(=O)(=O)O,4.6465597,22565.25703025485,inactive
"5alpha-Pregnane-3beta,20alpha-diamine, N3-methyl-",CC(C1CCC2C1(CCC3C2CCC4C3(CCC(C4)NC)C)C)N,4.928605,11786.77302064544,inactive
"5alpha-Pregnane-3alpha,17alpha-diol-20-one-methyloxime",CC(=NOC)C1(CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C)O,3.8641381,136729.3891718758,inactive
"5alpha-Pregnane-3alpha,17alpha-diol-20-one-methyloxime-TMS",CC(=NOC)C1(CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C)O[Si](C)(C)C,3.7462664,179363.3203589054,inactive
"5beta-Pregnane-3beta-ol-20-one, MO TMS",CC(=NOC)C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O[Si](C)(C)C)C)C,4.3952494,40248.58653361144,inactive
"5alpha-Pregnane-3alpha, 11beta, 17alpha, 21-tetrol-20-one (Allo-THF), MO TMS",CC12CCC(CC1CCC3C2C(CC4(C3CCC4(C(=NOC)CO[Si](C)(C)C)O[Si](C)(C)C)C)O[Si](C)(C)C)O[Si](C)(C)C,3.9238842,119155.9810324893,inactive
"5beta-pregnane-3alpha,17,20alpha-triol, MO-TMS",CC(C1(CCC2C1(CCC3C2CCC4C3(CCC(C4)O[Si](C)(C)C)C)C)O[Si](C)(C)C)O[Si](C)(C)C,4.333714,46375.22093814729,inactive
"5beta-Pregnane-3alpha, 17alpha-diol-20-one, MO TMS",CC(=NOC)C1(CCC2C1(CCC3C2CCC4C3(CCC(C4)O[Si](C)(C)C)C)C)O[Si](C)(C)C,3.7462664,179363.3203589054,inactive
"5alpha-Pregnane-3alpha,11beta,20alpha,21-tetrol, EO-TMS",CC12CC(C3C4CCC(CC4CCC3C1CCC2C(CO[Si](C)(C)C)O[Si](C)(C)C)O[Si](C)(C)C)O[Si](C)(C)C,4.4602647,34652.55944660194,inactive
"5beta-Pregnane-20-one-3alpha,21-diol, EO-TMS, # 1",CCON=C(CO[Si](C)(C)C)C1CCC2C1(CCC3C2CCC4C3CCC(C4)O[Si](C)(C)C)C,4.522331,30037.844327191306,inactive
"5beta-Pregnane-3alpha,16alpha,20alpha-triol, EO-TMS",CC(C1C(CC2C1(CCC3C2CCC4C3CCC(C4)O[Si](C)(C)C)C)O[Si](C)(C)C)O[Si](C)(C)C,4.319501,47918.04343387152,inactive
"5beta-Pregnane-3alpha, 17alpha, 21-triol-11, 20-dione (THE), MO TMS",CC12CCC(CC1CCC3C2C(=NOC)CC4(C3CCC4(C(=NOC)CO[Si](C)(C)C)O[Si](C)(C)C)C)O[Si](C)(C)C,3.7480633,178622.71003159747,inactive
"3beta-Acetoxy-5beta-pregnane-12,20-dione",CC(=O)C1CCC2C1(C(=O)CC3C2CCC4C3(CCC(C4)OC(=O)C)C)C,5.609128,2459.642573993483,intermediate
(20R)-3alpha-Hydroxy-20-(benzoyloxy)-5alpha-pregnane-7-one,CC(C1CCC2C1(CCC3C2C(=O)CC4C3(CCC(C4)O)C)C)OC(=O)C5=CC=CC=C5,5.3323755,4651.836838185193,intermediate
"(9beta)-5-Methyl-19-nor-5beta-pregnane-3,20-dione",CC(=O)C1CCC2C1(CCC3C2CCC4(C3CCC(=O)C4)C)C,3.9867601,103095.53591465292,inactive
"(14S,17S,20S)-3beta-[3-O-Methyl-4-O-[3-O-methyl-4-O-(3-O-methyl-4-O-beta-D-glucopyranosyl-6-deoxy-beta-D-glucopyranosyl)-2,6-dideoxy-beta-D-arabino-hexopyranosyl]-2,6-dideoxy-beta-D-ribo-hexopyranosyloxy]-5alpha-pregnane-12beta,14,17,20-tetrol 12-acetate 20-nicotinate",CC1C(C(CC(O1)OC2CCC3(C(C2)CCC4C3CC(C5(C4(CCC5(C(C)OC(=O)C6=CN=CC=C6)O)O)C)OC(=O)C)C)OC)OC7CC(C(C(O7)C)OC8C(C(C(C(O8)C)OC9C(C(C(C(O9)CO)O)O)O)OC)O)OC,6.1869645,650.1828174946851,active
"(20S)-6-Methoxy-20-formyl-3alpha,5-cyclo-5alpha-pregnane",CC(C=O)C1CCC2C1(CCC3C2CC(C45C3(CCC4C5)C)OC)C,3.9066668,123974.75089399578,inactive
(20R)-3alpha-[(2-Methoxyethoxy)methoxy]-7-nor-5alpha-pregnane-20-ol,CC(C1CCC2C1(CCC3C2CC4C3(CCC(C4)OCOCCOC)C)C)O,4.2684116,53899.95016524969,inactive
(17S)-3beta-Hydroxy-20-oxo-5alpha-pregnane-16alpha-acetic acid,CC(=O)C1C(CC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C)CC(=O)O,4.3210173,47751.02899217756,inactive
"3alpha,17alpha,21-Trihydroxy-5beta-pregnane-11,20-dione 20-oxime",CC12CCC(CC1CCC3C2C(=O)CC4(C3CCC4(C(=NO)CO)O)C)O,4.166085,68220.5527028956,inactive
"3beta-[3-O-Methyl-4-O-[4-O-[4-O-(3-O-methyl-2,6-dideoxy-D-ribo-hexopyranosyl)-2,6-dideoxy-D-arabino-hexopyranosyl]-2,6-dideoxy-D-arabino-hexopyranosyl]-2,6-dideoxy-D-ribo-hexopyranosyloxy]-8beta,14beta,15beta,16alpha-tetrahydroxy-5alpha-pregnane-20-one",CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4C(OC(CC4OC)OC5CCC6(C(C5)CCC7(C6CCC8(C7(C(C(C8C(=O)C)O)O)O)C)O)C)C)C)C)OC)O,4.806605,15609.720892452597,inactive
"11alpha,12alpha-[2-(Trimethylsilyl)ethylsulfonylimino]pregnane-3alpha,20-diol diacetate",CC(C1CCC2C1(C3C(N3S(=O)(=O)CC[Si](C)(C)C)C4C2CCC5C4(CCC(C5)OC(=O)C)C)C)OC(=O)C,5.966048,1081.3150214398677,intermediate
"(17S)-3',3',4',4'-[[1'',6',7',10''-(1,1,2,2-Ethenetetryl)-6,6'',7,7''-(1,1,2,2-ethenetetryl)-4,3,3',4',3'',4''-(1,2,3,4,5,6-benzenehexyl)-5,5'':8,8'':8',9'':9,9'-tetrakiscyclo-2,2':5',2''-terfluoranthene]-1,1',10,10'-tetryl]-1'-methyl-17-(2,2'-bipyridine-5-ylcarbonyloxy)spiro[5alpha-pregnane-3,2'-pyrrolidine]",CCC1(CCC2C1(CCC3C2CCC4C3(CCC5(C4)C67C8=C9C1=C2C3=C4C%10=C%11C%12=C%13C%14=C%10C%10=C4C4=C%15C%16=C%17C%18=C%19C%20=C%21C%22=C%23C%24=C%25C%26=C(C1=C3C%11=C%26C%12=C%24C%22=C%13C%20=C%14C%18=C%10%16)C1=C%25C3=C(C6=C19)C1=C6C7(CN5C)C(=C%15C8=C24)C%17=C6C%19=C%21C1=C%233)C)C)OC(=O)C1=CN=C(C=C1)C1=CC=CC=N1,4.675402,21115.32817066508,inactive
"(20S)-3alpha,7alpha,12alpha-Triacetoxy-5beta-pregnane-20-carbaldehyde",CC(C=O)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)OC(=O)C)C)OC(=O)C)OC(=O)C)C,4.9395623,11493.11306866156,inactive
"(20S)-3,3-(Ethylenebisoxy)-7beta-fluoro-5alpha-pregnane-20-carbaldehyde",CC(C=O)C1CCC2C1(CCC3C2C(CC4C3(CCC5(C4)OCCO5)C)F)C,4.02529,94343.06635182188,inactive
"3beta-(4-O-alpha-L-Rhamnopyranosyl-beta-D-glucopyranosyloxy)-5beta-pregnane-5,6alpha,16beta-triol 16-[(4S)-4-methyl-5-(beta-D-glucopyranosyloxy)valerate]",CCC1C(CC2C1(CCC3C2CC(C4(C3(CCC(C4)OC5C(C(C(C(O5)CO)OC6C(C(C(C(O6)C)O)O)O)O)O)C)O)O)C)OC(=O)CCC(C)COC7C(C(C(C(O7)CO)O)O)O,6.470587,338.38665179900687,active
"21-(Trimethylsiloxy)-5alpha-pregnane-3,20-dione bis(O-methyl oxime)",CC12CCC(=NOC)CC1CCC3C2CCC4(C3CCC4C(=NOC)CO[Si](C)(C)C)C,4.7082334,19577.92423654572,inactive
"[[(20R)-5alpha-Pregnane-3alpha,17,20-triyl]tri(oxy)]tris(trimethylsilane)",CC(C1(CCC2C1(CCC3C2CCC4C3(CCC(C4)O[Si](C)(C)C)C)C)O[Si](C)(C)C)O[Si](C)(C)C,4.333714,46375.22093814729,inactive
"17,21-[(Methylboranediyl)bisoxy]-5beta-pregnane-3,11,20-trione",B1(OCC(=O)C2(O1)CCC3C2(CC(=O)C4C3CCC5C4(CCC(=O)C5)C)C)C,3.6142976,243053.7754875732,inactive
"3alpha-Hydroxy-17,21-[(methylboranediyl)bisoxy]-5beta-pregnane-11,20-dione",B1(OCC(=O)C2(O1)CCC3C2(CC(=O)C4C3CCC5C4(CCC(C5)O)C)C)C,4.068151,85476.9471704695,inactive
"3beta,7beta,12beta-Trihydroxy-5alpha-pregnane-21-carboxylic acid",CC12CCC(CC1CC(C3C2CC(C4(C3CCC4CCC(=O)O)C)O)O)O,3.996673,100768.9870231903,inactive
(19E)-3beta-Hydroxy-20-oxo-5beta-pregnane-19-al O-(carboxymethyl)oxime,CC(=O)C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C=NOCC(=O)O)C,4.5567927,27746.43967785,inactive
"17alpha,21-Dihydroxy-11-oxo-5beta-pregnane-3alpha-yl beta-D-glucopyranosiduronic acid",CC12CCC(CC1CCC3C2C(=O)CC4(C3CCC4(CCO)O)C)OC5C(C(C(C(O5)C(=O)O)O)O)O,4.1388493,72635.80291503323,inactive
"(20R)-20-(1,3-Dithiane-2-yl)-5alpha-pregnane-3beta,20-diol",CC12CCC(CC1CCC3C2CCC4(C3CCC4C(C)(C5SCCCS5)O)C)O,4.241919,57290.28191255645,inactive
"(6E,20R)-3beta,20-Diacetoxy-B-nor-5alpha-pregnane-6-one oxime",CC(C1CCC2C1(CCC3C2C(=NO)C4C3(CCC(C4)OC(=O)C)C)C)OC(=O)C,4.642794,22761.761464262658,inactive
"7-Aza-5alpha-pregnane-3,20-dione",CC(=O)C1CCC2C1(CCC3C2NCC4C3(CCC(=O)C4)C)C,4.2545137,55652.70261538394,inactive
"[(17S)-12beta-Acetoxy-20-(benzyloxy)-8beta,14beta,17-trihydroxy-5alpha-pregnane-3beta-yl]4-O-[4-O-(3-O-methyl-6-deoxy-beta-D-glucopyranosyl)-3-O-methyl-2,6-dideoxy-beta-D-arabino-hexopyranosyl]-3-O-methyl-2,6-dideoxy-beta-D-ribo-hexopyranoside",CC1C(C(C(C(O1)OC2C(OC(CC2OC)OC3C(OC(CC3OC)OC4CCC5(C(C4)CCC6(C5CC(C7(C6(CCC7(C(C)OCC8=CC=CC=C8)O)O)C)OC(=O)C)O)C)C)C)O)OC)O,6.963361,108.8025849591154,active
"[(17S,20S)-14beta,17,18-[1,1,1-Ethanetriyltris(oxy)]-12beta-acetoxy-8beta-hydroxy-20-(benzoyloxy)-5alpha-pregnane-3beta-yl]3-O-methyl-4-O-[3-O-methyl-4-O-(3-O-methyl-6-deoxy-beta-D-glucopyranosyl)-2,6-dideoxy-beta-D-glucopyranosyl]-2,6-dideoxy-beta-D-altropyranoside",CC1C(C(C(C(O1)OC2C(OC(CC2OC)OC3C(OC(CC3OC)OC4CCC5(C(C4)CCC6(C5CC(C78C69CCC7(OC(O9)(OC8)C)C(C)OC(=O)C1=CC=CC=C1)OC(=O)C)O)C)C)C)O)OC)O,6.3676047,428.9387358195314,active
"3beta-(tert-Butyldimethylsiloxy)-20-acetoxy-6,9-epoxy-5alpha-pregnane-5-ol",CC(C1CCC2C1(CCC34C2CC(O3)C5(C4(CCC(C5)O[Si](C)(C)C(C)(C)C)C)O)C)OC(=O)C,4.738882,18243.91059011464,inactive
"5alpha-Pregnane-3beta,11alpha,20-triol 3,20-diacetate",CC(C1CCC2C1(CC(C3C2CCC4C3(CCC(C4)OC(=O)C)C)O)C)OC(=O)C,4.9245315,11897.851393285746,inactive
"(20S)-20-[3-Methyl-4-[(2S)-2-methyl-3-hydroxypropyl]isoxazole-5-yl]-5beta-pregnane-3beta,16beta-diol",CC1=NOC(=C1CC(C)CO)C(C)C2C(CC3C2(CCC4C3CCC5C4(CCC(C5)O)C)C)O,4.486338,32633.36521840689,inactive
"(17alpha,20S)-20,21-Bis(tert-butyldimethylsiloxy)-14beta,16beta-dihydroxy-6beta-methoxy-3,5-cyclo-5alpha-pregnane-15-one",CC12CCC3C1(C3)C(CC4C2CCC5(C4(C(=O)C(C5C(CO[Si](C)(C)C(C)(C)C)O[Si](C)(C)C(C)(C)C)O)O)C)OC,3.8694108,135079.4385198468,inactive
"18,20-Epoxy-5alpha-pregnane-3beta,5,6beta,20,21-pentol",CC12CCC(CC1(C(CC3C2CCC45C3CCC4C(OC5)(CO)O)O)O)O,4.1285863,74372.72731212956,inactive
"(3R)-Spiro[5alpha-pregnane-3,2'-oxiran]-20beta-ol",CC(C1CCC2C1(CCC3C2CCC4C3(CCC5(C4)CO5)C)C)O,4.565982,27165.527030388726,inactive
"16alpha,17alpha-Tetramethylene-19-nor-5beta-pregnane-3,20-dione",CC(=O)C12CCCCC1CC3C2(CCC4C3CCC5C4CCC(=O)C5)C,3.0933352,806612.3149802963,inactive
"3beta-[4-O-(beta-D-Digitoxosyl)-beta-D-digitoxosyloxy]-5beta-pregnane-14beta,20-diol",CC1C(C(CC(O1)OC2C(OC(CC2O)OC3CCC4(C(C3)CCC5C4CCC6(C5(CCC6C(C)O)O)C)C)C)O)O,5.254232,5568.882699796516,intermediate
"3beta-Acetoxy-16alpha,17alpha-epoxy-5alpha-pregnane-20,21-diol",CC(=O)OC1CCC2(C(C1)CCC3C2CCC4(C3CC5C4(O5)C(CO)O)C)C,4.7187095,19111.31325733268,inactive
"21-(Acetyloxy)-6-fluoro-5,17-dihydroxy-5alpha-pregnane-3,20-dione",CC(=O)OCC(=O)C1(CCC2C1(CCC3C2CC(C4(C3(CCC(=O)C4)C)O)F)C)O,3.4923415,321853.68183983536,inactive
11alpha-Trimethylsilyloxy-5beta-pregnane,CCC1CCC2C1(CC(C3C2CCC4C3(CCCC4)C)O[Si](C)(C)C)C,4.2650867,54314.19524815321,inactive
"(20R)-3beta-[(6-Deoxy-alpha-L-mannopyranosyl)oxy]-5beta-pregnane-1beta,5,11alpha,14beta,19,20-hexol",CC1C(C(C(C(O1)OC2CC(C3(C4C(CCC3(C2)O)C5(CCC(C5(CC4O)C)C(C)O)O)CO)O)O)O)O,4.8178077,15212.21047307836,inactive
"21-[[(2S,4S)-Tetrahydro-4-hydroxy-6-oxo-2H-pyran]-2-yl]-5beta-pregnane-3alpha,12alpha-diol 12-[(S)-2-methylbutyrate]",CCC(C)C(=O)OC1CC2C(CCC3C2(CCC(C3)O)C)C4C1(C(CC4)CCC5CC(CC(=O)O5)O)C,6.1863537,651.0979328603347,active
"(17S)-3beta-[4-O-[4-O-(3-O-Methyl-6-deoxy-beta-D-glucopyranosyl)-3-O-methyl-2,6-dideoxy-beta-D-galactopyranosyl]-3-O-methyl-2,6-dideoxy-beta-D-gulopyranosyloxy]-5alpha-pregnane-12beta,14beta,17,20-tetraol 12-acetate 20-nicotinate",CC1C(C(C(C(O1)OC2C(OC(CC2OC)OC3C(OC(CC3OC)OC4CCC5(C(C4)CCC6C5CC(C7(C6(CCC7(C(C)OC(=O)C8=CN=CC=C8)O)O)C)OC(=O)C)C)C)C)O)OC)O,6.1869645,650.1828174946851,active
"Bis[(20S)-3beta-hydroxy-20-methyl-5alpha-pregnane-21-oic acid]2,3-bis(1-oxo-14-hydroxy-3,6,9,12-tetraoxatetradecane-1-yloxy)-1,4-butanediyl",CC(C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C)C(=O)OCC(C(COC(=O)C(C)C5CCC6C5(CCC7C6CCC8C7(CCC(C8)O)C)C)OC(=O)COCCOCCOCCOCCO)OC(=O)COCCOCCOCCOCCO,4.3147955,48440.04143045137,inactive
"3alpha,4alpha-Epoxy-5alpha-pregnane-20-one",CC(=O)C1CCC2C1(CCC3C2CCC4C3(CCC5C4O5)C)C,4.733646,18465.20289454014,inactive
"3beta-(Benzyloxy)-14beta,21-dihydroxy 5beta-pregnane-20-one",CC12CCC(CC1CCC3C2CCC4(C3(CCC4C(=O)CO)O)C)OCC5=CC=CC=C5,5.6282063,2353.9311007308843,intermediate
"(20R)-3beta-[[4-O-[4-O-(6-Deoxy-3-O-methyl-beta-D-allopyranosyl)-2,6-dideoxy-3-O-methyl-beta-D-allopyranosyl]-2,6-dideoxy-3-O-methyl-beta-D-allopyranosyl]oxy]-5alpha-pregnane-12beta,14beta,20-triol 12-benzoate 20-acetate",CC1C(C(C(C(O1)OC2C(OC(CC2OC)OC3C(OC(CC3OC)OC4CCC5(C(C4)CCC6C5CC(C7(C6(CCC7C(C)OC(=O)C)O)C)OC(=O)C8=CC=CC=C8)C)C)C)O)OC)O,7.3360057,46.131153297988206,active
"(20S)-3beta-[[3-O-Methyl-4-O-[3-O-methyl-4-O-[3-O-methyl-4-O-(beta-D-glucopyranosyl)-6-deoxy-beta-D-allopyranosyl]-2,6-dideoxy-beta-D-arabino-hexopyranosyl]-2,6-dideoxy-beta-D-ribo-hexopyranosyl]oxy]-5alpha-pregnane-11alpha,12beta,14beta,20-tetraol",CC1C(C(CC(O1)OC2CCC3(C(C2)CCC4C3C(C(C5(C4(CCC5C(C)O)O)C)O)O)C)OC)OC6CC(C(C(O6)C)OC7C(C(C(C(O7)C)OC8C(C(C(C(O8)CO)O)O)O)OC)O)OC,5.568009,2703.902954376067,intermediate
20-Oxo-5alpha-pregnane-3alpha-sulfonic acid,CC(=O)C1CCC2C1(CCC3C2CCC4C3(CCC(C4)S(=O)(=O)O)C)C,4.896484,12691.591987292417,inactive
20-[2-[4-[(Dimethylamino)sulfonyl]benzofurazan-7-yl]hydrazono]-5beta-pregnane-3alpha-sulfonic acid,CC(=NNC1=CC=C(C2=NON=C12)S(=O)(=O)N(C)C)C3CCC4C3(CCC5C4CCC6C5(CCC(C6)S(=O)(=O)O)C)C,5.244734,5692.01701415711,intermediate
"(20R)-20,21-[Isopropylidenebis(oxy)]-5beta-pregnane-3beta,14beta-diol",CC1(OCC(O1)C2CCC3(C2(CCC4C3CCC5C4(CCC(C5)O)C)C)O)C,4.007785,98223.44374291568,inactive
"(20R)-5alpha-Pregnane-3beta,12beta,14beta,20-tetraol 3,20-diacetate",CC(C1CCC2(C1(C(CC3C2CCC4C3(CCC(C4)OC(=O)C)C)O)C)O)OC(=O)C,4.619529,24014.371760438986,inactive
"(20S)-3beta,20-Bis(methoxymethoxy)-16alpha,17-epoxy-5alpha-pregnane",CC(C12C(O1)CC3C2(CCC4C3CCC5C4(CCC(C5)OCOC)C)C)OCOC,4.1036453,78768.88089451143,inactive
"20-Cyano-5beta-pregnane-3alpha,16beta-diol 3-acetate 16-[(3R)-3-methyl-4-chlorobutyrate]",CC(CC(=O)OC1CC2C3CCC4CC(CCC4(C3CCC2(C1C(C)C#N)C)C)OC(=O)C)CCl,4.081416,82905.60061704092,inactive
"15beta,17,21-Trihydroxy-5alpha-pregnane-3,20-dione",CC12CCC(=O)CC1CCC3C2CCC4(C3C(CC4(C(=O)CO)O)O)C,3.7972958,159479.25242930528,inactive
"17,21-[(tert-Butylboranediyl)bisoxy]-5beta-pregnane-3,11,20-trione",B1(OCC(=O)C2(O1)CCC3C2(CC(=O)C4C3CCC5C4(CCC(=O)C5)C)C)C(C)(C)C,3.6620295,217756.18297492937,inactive
"3alpha-Hydroxy-17,21-(tert-butylboranediyl)bisoxy-5beta-pregnane-11,20-dione",B1(OCC(=O)C2(O1)CCC3C2(CC(=O)C4C3CCC5C4(CCC(C5)O)C)C)C(C)(C)C,4.115883,76580.31113013002,inactive
"Acetic acid 12beta,16beta-dihydroxy-20-oxo-5alpha-pregnane-3beta-yl ester",CC(=O)C1C(CC2C1(C(CC3C2CCC4C3(CCC(C4)OC(=O)C)C)O)C)O,4.8657184,13623.278509809148,inactive
"3beta-Hydroxy-5alpha-pregnane-6,20-dione",CC(=O)C1CCC2C1(CCC3C2CC(=O)C4C3(CCC(C4)O)C)C,4.8173795,15227.21659806861,inactive
3beta-Hydroxy-19-(formyloxy)-6-thia-5alpha-pregnane-20-one,CC(=O)C1CCC2C1(CCC3C2CSC4C3(CCC(C4)O)COC=O)C,3.8611543,137672.0191993565,inactive
(20R)-3alpha-[(2-Methoxyethoxy)methoxy]-6-aza-7-oxo-5alpha-pregnane-20-ol 20-benzoate,CC(C1CCC2C1(CCC3C2C(=O)NC4C3(CCC(C4)OCOCCOC)C)C)OC(=O)C5=CC=CC=C5,6.7436967,180.42774046522425,active
"16beta,20alpha-Isopropylidenedioxy-5alpha-pregnane-3,11-dione",CC1C2C(CC3C2(CC(=O)C4C3CCC5C4(CCC(=O)C5)C)C)OC(O1)(C)C,4.1315765,73862.40797712149,inactive
"Pregnane-3,5,6,8,12,14,17,20-octaol 12,20-dicinnamate",CC(C1(CCC2(C1(C(CC3C2(CC(C4(C3(CCC(C4)O)C)O)O)O)OC(=O)C=CC5=CC=CC=C5)C)O)O)OC(=O)C=CC6=CC=CC=C6,4.6448474,22654.402219655847,inactive
"(17S)-3beta-[3-O-Methyl-4-O-[3-O-methyl-4-O-[3-O-methyl-4-O-[4-O-(beta-D-glucopyranosyl)-beta-D-glucopyranosyl]-6-deoxy-beta-D-glucopyranosyl]-2,6-dideoxy-beta-D-glucopyranosyl]-beta-D-allopyranosyloxy]-8beta,14beta,17,20-tetrahydroxy-12beta-[[(E)-cinnamoyl]oxy]pregnane",CC1C(C(CC(O1)OC2C(OC(C(C2OC)O)OC3CCC4(C(C3)CCC5(C4CC(C6(C5(CCC6(C(C)O)O)O)C)OC(=O)C=CC7=CC=CC=C7)O)C)CO)OC)OC8C(C(C(C(O8)C)OC9C(C(C(C(O9)CO)OC1C(C(C(C(O1)CO)O)O)O)O)O)OC)O,6.6731267,212.26251342712115,active
"2beta,3beta,4beta-Trihydroxy-5alpha-pregnane-16-one",CCC1C(=O)CC2C1(CCC3C2CCC4C3(CC(C(C4O)O)O)C)C,4.909238,12324.29650755844,inactive
3-[4-O-[2-O-(beta-D-Glucopyranosyl)-4-O-(beta-D-xylopyranosyl)-beta-D-glucopyranosyl]-beta-D-galactopyranosyloxy]-20-(6-hydroxy-5-methyl-2-pyridyl)-5alpha-pregnane-16-ol,CC1=CC=C(NC1=O)C(C)C2C(CC3C2(CCC4C3CCC5C4(CCC(C5)OC6C(C(C(C(O6)CO)OC7C(C(C(C(O7)CO)OC8C(C(C(CO8)O)O)O)O)OC9C(C(C(C(O9)CO)O)O)O)O)O)C)C)O,5.177808,6640.368673430955,intermediate
"6beta,19-Epoxy-3beta-(tert-butyldimethylsiloxy)-5beta-pregnane-5alpha,20-diol 20-acetate",CC(C1CCC2C1(CCC3C2CC4C5(C3(CCC(C5)O[Si](C)(C)C(C)(C)C)CO4)O)C)OC(=O)C,4.5525117,28021.30181889115,inactive
