compound_name,Canonical Smile,Predicted pIC50,standard_value,Bioactivity
"Silane, [[(3alpha,5beta,11beta,20S)-pregnane-3,11,20,21-tetrayl]tetrakis(oxy)]tetrakis[trimethyl-",CC12CCC(CC1CCC3C2C(CC4(C3CCC4C(CO[Si](C)(C)C)O[Si](C)(C)C)C)O[Si](C)(C)C)O[Si](C)(C)C,4.23894,57684.64680956648,inactive
"Silane, [[(3beta,5alpha,20S)-pregnane-3,20-diyl]bis(oxy)]bis[triethyl-",CC[Si](CC)(CC)OC1CCC2(C(C1)CCC3C2CCC4(C3CCC4C(C)O[Si](CC)(CC)CC)C)C,4.7290854,18660.125254972456,inactive
"Silane, [[(3alpha,5beta,20R)-pregnane-3,20-diyl]bis(oxy)]bis[tripropyl-",CCC[Si](CCC)(CCC)OC1CCC2(C(C1)CCC3C2CCC4(C3CCC4C(C)O[Si](CCC)(CCC)CCC)C)C,4.3970103,40085.718617981925,inactive
"3,17,20-Tris[(trimethylsilyl)oxy]pregnane",CC(C1(CCC2C1(CCC3C2CCC4C3(CCC(C4)O[Si](C)(C)C)C)C)O[Si](C)(C)C)O[Si](C)(C)C,4.333714,46375.22093814729,inactive
"Pregnane-3,20-diol",CC(C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C)O,4.5779104,26429.53831538944,inactive
"Silane, [[(3alpha,5alpha,11beta,20R)-pregnane-3,11,20,21-tetrayl]tetrakis(oxy)]tetrakis[trimethyl-",CC12CCC(CC1CCC3C2C(CC4(C3CCC4C(CO[Si](C)(C)C)O[Si](C)(C)C)C)O[Si](C)(C)C)O[Si](C)(C)C,4.23894,57684.64680956648,inactive
"Silane, [[(3alpha,5beta,11beta,20R)-pregnane-3,11,20,21-tetrayl]tetrakis(oxy)]tetrakis[trimethyl-",CC12CCC(CC1CCC3C2C(CC4(C3CCC4C(CO[Si](C)(C)C)O[Si](C)(C)C)C)O[Si](C)(C)C)O[Si](C)(C)C,4.23894,57684.64680956648,inactive
"Silane, [[(3beta,5alpha,11beta,20R)-pregnane-3,11,20,21-tetrayl]tetrakis(oxy)]tetrakis[trimethyl-",CC12CCC(CC1CCC3C2C(CC4(C3CCC4C(CO[Si](C)(C)C)O[Si](C)(C)C)C)O[Si](C)(C)C)O[Si](C)(C)C,4.23894,57684.64680956648,inactive
"Silane, [[(3alpha,5beta,11beta,20R)-pregnane-3,11,17,20-tetrayl]tetrakis(oxy)]tetrakis[trimethyl-",CC(C1(CCC2C1(CC(C3C2CCC4C3(CCC(C4)O[Si](C)(C)C)C)O[Si](C)(C)C)C)O[Si](C)(C)C)O[Si](C)(C)C,4.522448,30029.765241489604,inactive
"Silane, [[(3beta,5alpha,20R)-pregnane-3,20-diyl]bis(oxy)]bis[dimethylpropyl-",CCC[Si](C)(C)OC1CCC2(C(C1)CCC3C2CCC4(C3CCC4C(C)O[Si](C)(C)CCC)C)C,3.61847,240729.90611619985,inactive
"Silane, [[(3beta,5alpha,20R)-pregnane-3,20-diyl]bis(oxy)]bis[tripropyl-",CCC[Si](CCC)(CCC)OC1CCC2(C(C1)CCC3C2CCC4(C3CCC4C(C)O[Si](CCC)(CCC)CCC)C)C,4.3970103,40085.718617981925,inactive
"Pregnane-3,20-diol, (3alpha,5beta)-",CC(C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C)O,4.5779104,26429.53831538944,inactive
"5alpha-Pregnane-3alpha,11beta,20beta,21-tetrol, cyclic 20,21-(2-methyl-2-propaneboronate)",B1(OCC(O1)C2CCC3C2(CC(C4C3CCC5C4(CCC(C5)O)C)O)C)C(C)(C)C,4.578849,26372.49151022695,inactive
"Pregnane-3,20-diol, diformate, (3alpha,5beta,20S)-",CC(C1CCC2C1(CCC3C2CCC4C3(CCC(C4)OC=O)C)C)OC=O,4.4578996,34841.78765011439,inactive
"3alpha,20alpha-Dihydroxy-5beta-pregnane",CC(C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C)O,4.5779104,26429.53831538944,inactive
"(20R)-5alpha-Pregnane-3beta,17,20-triol",CC(C1(CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C)O)O,4.3891764,40815.35998743012,inactive
"Silane, [[(3beta,5alpha,20S)-pregnane-3,20-diyl]bis(oxy)]bis[dimethyl-2-propenyl-",CC(C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O[Si](C)(C)CC=C)C)C)O[Si](C)(C)CC=C,4.0811095,82964.15156553173,inactive
"Silane, [[(3beta,5alpha,20R)-pregnane-3,20-diyl]bis(oxy)]bis[triethyl-",CC[Si](CC)(CC)OC1CCC2(C(C1)CCC3C2CCC4(C3CCC4C(C)O[Si](CC)(CC)CC)C)C,4.7290854,18660.125254972456,inactive
"Pregnane-3,11,20-triol",CC(C1CCC2C1(CC(C3C2CCC4C3(CCC(C4)O)C)O)C)O,4.5779104,26429.53831538944,inactive
"(20R)-5alpha-pregnane-3,20-diyl bis(hydrogen sulfate)",CC(C1CCC2C1(CCC3C2CCC4C3(CCC(C4)OS(=O)(=O)O)C)C)OS(=O)(=O)O,4.674638,21152.52443956734,inactive
"Silane, [[(3alpha,5beta,20R)-pregnane-3,20-diyl]bis(oxy)]bis[triethyl-",CC[Si](CC)(CC)OC1CCC2(C(C1)CCC3C2CCC4(C3CCC4C(C)O[Si](CC)(CC)CC)C)C,4.7290854,18660.125254972456,inactive
"Pregnane-3,20-diol 3-sulfate",CC(C1CCC2C1(CCC3C2CCC4C3(CCC(C4)OS(=O)(=O)O)C)C)O,4.674638,21152.52443956734,inactive
"3alpha,17,21-Trihydroxy-5beta-pregnane-11,20-dione 21-acetate",CC(=O)OCC(=O)C1(CCC2C1(CC(=O)C3C2CCC4C3(CCC(C4)O)C)C)O,4.3210173,47751.02899217756,inactive
"5-alpha-Pregnane-3,20-dione",CC(=O)C1CCC2C1(CCC3C2CCC4C3(CCC(=O)C4)C)C,4.2545137,55652.70261538394,inactive
"Silane, [(3beta,5alpha,11beta,17alpha,20R)-pregnane-3,11,17,20,21-pentaylpentakis(oxy)]pentakis[trimethyl-",CC12CCC(CC1CCC3C2C(CC4(C3CCC4(C(CO[Si](C)(C)C)O[Si](C)(C)C)O[Si](C)(C)C)C)O[Si](C)(C)C)O[Si](C)(C)C,4.6490445,22436.519453288885,inactive
"Silane, [[(3beta,5alpha,11beta,20S)-pregnane-3,11,17,20,21-pentayl]pentakis(oxy)]pentakis[trimethyl-",CC12CCC(CC1CCC3C2C(CC4(C3CCC4(C(CO[Si](C)(C)C)O[Si](C)(C)C)O[Si](C)(C)C)C)O[Si](C)(C)C)O[Si](C)(C)C,4.6490445,22436.519453288885,inactive
"21-Chloro-4,5-epoxy-9-fluoro-11beta,16alpha,17-tri-hydroxy-5beta-pregnane-3,20-dione-16,17-acetonide",CC1(OC2CC3C4CCC56C(O5)C(=O)CCC6(C4(C(CC3(C2(O1)C(=O)CCl)C)O)F)C)C,3.5808945,262485.628316594,inactive
"3-beta-Hydroxy-5-alpha-pregnane-11,20-dione",CC(=O)C1CCC2C1(CC(=O)C3C2CCC4C3(CCC(C4)O)C)C,4.6014295,25036.322521845734,inactive
"(20R)-5beta-Pregnane-3alpha,17,20-triol",CC(C1(CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C)O)O,4.3891764,40815.35998743012,inactive
"5alpha-Pregnane-3,6,20-trione",CC(=O)C1CCC2C1(CCC3C2CC(=O)C4C3(CCC(=O)C4)C)C,4.089139,81444.36007687732,inactive
"Pregnane-3,20-diol, 19-[(1-methylethylidene)amino]-, (3beta)-",CC(C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O)CN=C(C)C)C)O,4.565982,27165.527030388726,inactive
"(20R)-5alpha-pregnane-3,20-diyl disulfate",CC(C1CCC2C1(CCC3C2CCC4C3(CCC(C4)OS(=O)(=O)[O-])C)C)OS(=O)(=O)[O-],5.0484233,8944.925128371688,intermediate
"3,17,20-Trihydroxypregnane",CC(C1(CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C)O)O,4.3891764,40815.35998743012,inactive
"11b,21-Dihydroxy-5b-pregnane-3,20-dione",CC12CCC(=O)CC1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,4.215117,60937.27399220762,inactive
"3-alpha-Hydroxy-16-alpha-methyl-2-beta-morpholino-5-alpha-pregnane-11,20-dione",CC1CC2C3CCC4CC(C(CC4(C3C(=O)CC2(C1C(=O)C)C)C)N5CCOCC5)O,5.2729664,5333.761780896471,intermediate
"8alpha,9alpha-Epoxy-4,4,14alpha-trimethyl-3,7,11,15,20-pentaoxo-5alpha-pregnane",CC(=O)C1CC(=O)C2(C1(CC(=O)C34C2(O3)C(=O)CC5C4(CCC(=O)C5(C)C)C)C)C,4.0539994,88308.10716777273,inactive
"Pregnane-3,20-diamine, (3beta,5alpha,20S)-",CC(C1CCC2C1(CCC3C2CCC4C3(CCC(C4)N)C)C)N,4.9180703,12076.182946469404,inactive
"5alpha-Pregnane-3alpha,11beta,20beta,21-tetrol, cyclic 20,21-methaneboronate",B1(OCC(O1)C2CCC3C2(CC(C4C3CCC5C4(CCC(C5)O)C)O)C)C,3.8684762,135370.44220053,inactive
"3alpha,21-Dihydroxy-5beta-pregnane-11,20-dione",CC12CCC(CC1CCC3C2C(=O)CC4(C3CCC4C(=O)CO)C)O,4.444386,35942.97283031191,inactive
"5beta-Pregnane-3alpha,17,20alpha-triol, cyclic 17,20-methaneboronate",B1(OC(C2(O1)CCC3C2(CCC4C3CCC5C4(CCC(C5)O)C)C)C)C,4.8424625,14372.670203259688,inactive
"5beta-pregnane-3alpha,11beta,17alpha,20beta,21-Pentol, 5beta-pregnane",C1CC2C3CCC(C3CC(C2C4C1CC(CC4)O)O)(C(CO)O)O,4.537623,28998.602666079383,inactive
"5alpha-Pregnane-12,20-dione",CC(=O)C1CCC2C1(C(=O)CC3C2CCC4C3(CCCC4)C)C,5.178695,6626.814260144584,intermediate
"Pregnane-18,20-diol, (5alpha)-",CC(C1CCC2C1(CCC3C2CCC4C3(CCCC4)C)CO)O,4.726129,18787.584416611884,inactive
"Silane, [[(3alpha,5beta,6alpha)-pregnane-3,6-diyl]bis(oxy)]bis[trimethyl-",CCC1CCC2C1(CCC3C2CC(C4C3(CCC(C4)O[Si](C)(C)C)C)O[Si](C)(C)C)C,4.487792,32524.301994798385,inactive
"5beta-Pregnane-3,12-dione",CCC1CCC2C1(C(=O)CC3C2CCC4C3(CCC(=O)C4)C)C,4.215548,60876.82045458942,inactive
"5beta-Pregnane-3,15,20-trione",CC(=O)C1CC(=O)C2C1(CCC3C2CCC4C3(CCC(=O)C4)C)C,4.2545137,55652.70261538394,inactive
"6-Pregnane 4,9(11)-7 |A, 6-pregnane 4,9(11)-7 |A diene,21-dicarboxylic acid,17-hydroxy-3-ketone",CC12CCC(=O)C=C1CC(C3C2C(CC4(C3CCC45CCC(=O)O5)C)OS(=O)(=O)C)C(=O)OC,3.981258,104409.99729314104,inactive
"5beta-Pregnane-3alpha,16alpha-diol-20-one",CC(=O)C1C(CC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C)O,4.3733096,42334.105496299504,inactive
"5alpha-Pregnane-3alpha,11beta,20alpha,21-tetrol, cyclic 20,21-methaneboronate",B1(OCC(O1)C2CCC3C2(CC(C4C3CCC5C4(CCC(C5)O)C)O)C)C,3.8684762,135370.44220053,inactive
"11beta-Hydroxy-5alpha-pregnane-3,20-dione",CC(=O)C1CCC2C1(CC(C3C2CCC4C3(CCC(=O)C4)C)O)C,4.3170147,48193.14913525367,inactive
"5-beta-Pregnane-3-alpha,11-alpha,20-beta-triol",CC(C1CCC2C1(CC(C3C2CCC4C3(CCC(C4)O)C)O)C)O,4.5779104,26429.53831538944,inactive
"Pregnane-3,7,17,20-tetrol",CC(C1(CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C)O)O,4.3891764,40815.35998743012,inactive
"5-beta-Pregnane-3alpha,6alpha,17alpha,20beta-tetrol",CC(C1(CCC2C1(CCC3C2CC(C4C3(CCC(C4)O)C)O)C)O)O,4.566004,27164.155040915182,inactive
"3-beta,17-Dihydroxy-16-beta-morpholino-5-alpha-pregnane-11,20-dione",CC(=O)C1(C(CC2C1(CC(=O)C3C2CCC4C3(CCC(C4)O)C)C)N5CCOCC5)O,3.714819,192832.86132986625,inactive
"3-alpha,20-alpha-Dihydroxy-5-beta-pregnane 3-glucuronide",CC(C1CCC2C1(CCC3C2CCC4C3(CCC(C4)OC5C(C(C(C(O5)C(=O)O)O)O)O)C)C)O,4.4748406,33508.83731279379,inactive
"5beta-Pregnane-3beta,20alpha-diol",CC(C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C)O,4.5779104,26429.53831538944,inactive
"Pregnane-3,20-diamine, N3,N3,N20-trimethyl-, (3beta,5alpha,20S)-",CC(C1CCC2C1(CCC3C2CCC4C3(CCC(C4)N(C)C)C)C)NC,4.554129,27917.136903253155,inactive
