canonical_smiles,standard_value,pIC50
CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-].CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-].[Ca+2],9030.0,5.04
CCCc1c(C(=O)NCc2ccccc2)nc(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+],26.0,7.59
O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1c(Cl)cc(Cl)cc1-c1cc(Cl)cc(Cl)c1,37.0,7.43
CC(C)c1cc(-c2ccccn2)c(-c2ccc(F)cc2)n1CC[C@@H]1C[C@@H](O)CC(=O)O1,46.0,7.34
O=C1C[C@H](O)C[C@@H](/C=C/c2c(F)cc(F)cc2-c2ccc(F)cc2)O1,860.0,6.07
CC(C)c1c(OC[C@@H](O)C[C@@H](O)CC(O)=O)n(nc1C(=O)NCc1ccc(Cl)cc1)-c1ccc(F)cc1,6.7,8.17
CC1CCCc2c1nn(c2\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)-c1ccc(F)cc1,2100.0,5.68
Cn1nnnc1C(\C=C\C(O)CC(O)CC([O-])=O)=C1c2ccc(F)cc2-c2cc(F)ccc12,4100.0,5.39
COc1cccc(Sc2c(F)cc3c(Sc4cccc(OC)c4)c(/C=C/[C@@H]4C[C@@H](O)CC(=O)O4)cnc3c2F)c1,49670.0,4.3
Cc1cc(Cl)cc(CC2CCCCC2)c1OCC(O)C[C@@H](O)CC([O-])=O,75.0,7.12
O=C([O-])C[C@H](O)CC(O)COc1c(Cl)cc(Cl)cc1C(F)(F)C1CCCCC1.[Na+],85.0,7.07
CCCCCCCCCCCCCCCC1(O)CCOC(=O)C1,750000.0,3.12
CCC(CC)(c1ccc(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c(C(C)C)c1)c1ccccc1F.[Na+],7400.0,5.13
Cc1cc(C)c(CCC2C[C@@H](O)CC(=O)O2)c(-c2ccc(F)c(C)c2)c1,22.0,7.66
COc1ccc(cc1)-n1nc(C(C)C)c(CC[C@H]2C[C@H](O)CC(=O)O2)c1-c1ccc(F)cc1,39.0,7.41
CC[C@H](C)C(=O)O[C@H]1C[C@H]2[C@@H](CC[C@@H]3C[C@H](O)CC[C@]23C)[C@@H]2CCC([C@H](C)C[C@@H]3C[C@@H](O)CC(=O)O3)[C@@]12C,650.0,6.19
CC(C)c1c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)n(nc1C(=O)N(C)Cc1cccc(F)c1)-c1ccc(F)cc1,3.9,8.41
CC(C)n1cc(c(\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)c1C)-c1ccc(F)cc1,330.0,6.48
CC[C@@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)C21,2.2,8.66
Cc1ccc(\C=C\[C@@H]2C[C@@H](O)CC(=O)O2)c(C)c1,29900.0,4.52
O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c2c(nn1-c1ccc(F)cc1)CCC2.[Na+],11000.0,4.96
CC(C)c1nc(Nc2ccn(C)n2)nc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+],1.8,8.74
OC(COc1c(Cl)cc(Cl)cc1C(=O)C1CCCCC1)C[C@@H](O)CC([O-])=O,190.0,6.72
O=C1C[C@H](O)C[C@@H](C=C2c3ccccc3-c3ccccc32)O1,890.0,6.05
O=C1C[C@H](O)CC(CCc2ccc(Br)c3ccccc23)O1,23300.0,4.63
CC(C)c1c(S(=O)(=O)N2CCN(C)CC2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+],2.7,8.57
CCC(CC)(CC)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)C21,1.4,8.85
CC(C)c1c(S(=O)(=O)N2CCSCC2)c(-c2ccc(F)cc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+],9.7,8.01
CCc1cc(cc(CC)c1F)-c1c(nc(C(C)C)n1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)-c1ccc(F)cc1,100.0,7.0
CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c(-c2ccccc2)c1C(=O)Nc1ccccc1.[Na+],12.0,7.92
O[C@@H]1C[C@@H](CCCc2c(Cl)cc(Cl)cc2COc2ccc(F)cc2)OC(=O)C1,170.0,6.77
CC(C)c1c(C(=O)N(C)Cc2ccc(F)c(F)c2)nn(-c2ccc(F)cc2)c1OC[C@@H](O)C[C@@H](O)CC(=O)O,5.7,8.24
Cc1cc(-c2ccc(F)cc2)c(/C=C/[C@@H]2C[C@@H](O)CC(=O)O2)c(C(C)C)n1,9.0,8.05
O[C@H](CCn1c(nc(c1-c1cccc(Cl)c1)-c1ccc(F)cc1)C(F)(F)F)C[C@@H](O)CC([O-])=O,41.0,7.39
O=C1C[C@H](O)C[C@@H](/C=C/c2c(Cl)cc(OCc3ccccc3)cc2Cl)O1,450.0,6.35
CC1CCCc2c1nn(-c1ccc(F)cc1)c2/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+],2100.0,5.68
O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c2c(nn1-c1ccc(F)cc1)C(Cc1ccccc1)CCC2.[Na+],68.0,7.17
O=C1C[C@H](O)C[C@@H](/C=C/c2ccc(Cl)c(Cl)c2)O1,35000.0,4.46
CC(C)c1c(C(=O)N2CCCCC2c2ccccc2)nn(-c2ccc(F)cc2)c1CC[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+],6.1,8.21
CC(C)c1nn(Cc2ccccc2)c(c1CC[C@H]1C[C@H](O)CC(=O)O1)-c1ccc(F)cc1,158.0,6.8
CC(C)c1c(C(=O)NCCc2ccccc2)nn(-c2ccc(F)cc2)c1OC[C@@H](O)C[C@@H](O)CC(=O)O,15.0,7.82
Cc1sc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c1-c1ccccc1.[Na+],94.0,7.03
O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1c(Cl)ccc2ccccc12,1510.0,5.82
CC(C)c1nc(cc(-c2ccc(F)cc2)c1\C=C\[C@@H]1C[C@@H](O)CC(=O)O1)-c1cc(C)cc(C)c1,8.0,8.1
Cc1nc(C)c(\C=C\[C@@H]2C[C@@H](O)CC(=O)O2)c(n1)-c1ccc(F)cc1,500.0,6.3
CC(C)c1nc(c(-c2cccc(Cl)c2)n1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)-c1ccc(F)cc1,8.0,8.1
CC(C)c1c(CCC(O)CC(O)CC(=O)[O-])c(-c2ccc(F)cc2)cn1-c1ccccc1.[Na+],6.0,8.22
CC(C)c1nc(c(-c2ccc(F)cc2C)n1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)-c1ccc(F)cc1,4.0,8.4
CC(CC(O)=O)CC(=O)c1ccc(cc1)-c1ccccc1,70000.0,4.15
Cc1cc(F)ccc1-c1cc(Cl)cc(Cl)c1/C=C/[C@@H]1C[C@@H](O)CC(=O)O1,36.0,7.44
CC(C)c1nc(nc(-c2ccc(F)cc2)c1\C=C\[C@@H]1C[C@H](CC(OCC=C)O1)OCc1ccccc1)N(C)S(C)(=O)=O,3.0,8.52
O=C1C[C@H](O)C[C@@H](/C=C/c2c(Cl)cc(Cl)cc2OCc2ccccc2)O1,430.0,6.37
Cc1cc(C)c2c(c1)/C(=C\[C@@H]1C[C@@H](O)CC(=O)O1)c1c(C)cc(C)cc1-2,830.0,6.08
CC(C)c1c(S(=O)(=O)N(C)Cc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+],8.5,8.07
O=C1C[C@H](O)C[C@@H](/C=C/c2c(Cl)cc(Cl)cc2OCCC23CC4CC(CC(C4)C2)C3)O1,3000.0,5.52
CC(C)n1c(C#N)c(-c2ccccn2)c(-c2ccc(F)cc2)c1CC[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+],4.8,8.32
CC[C@H](C)C(=O)O[C@H]1CCC=C2C=C[C@H](C)[C@H](CCC(O)C[C@@H](O)CC(=O)O)C21,13.0,7.89
CC[C@H](C)C(=O)O[C@H]1CCC=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,30.0,7.52
CO[C@@H]1C[C@H](OC(=O)C1)\C=C\c1c(C)cc(C)cc1-c1ccc(F)c(C)c1,106.0,6.97
COc1cccc(Sc2c(/C=C/[C@@H]3C[C@@H](O)CC(=O)O3)cnc3cc(Cl)c(F)cc23)c1,9240.0,5.03
C[C@@H]1C[C@H](OC(=O)C(C)(C)C)C2[C@@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H](C)C=CC2=C1,2.7,8.57
O=C([O-])CC(O)CC(O)/C=C/c1c(-c2ccc(F)cc2)c2ccccc2n2nnnc12.[Na+],4600.0,5.34
COc1ccc(CN(C)C(=O)c2nn(-c3ccc(F)cc3)c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c2C(C)C)cc1.[Na+],12.0,7.92
CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C[C@@H]2C=C[C@H](C)[C@H](CC[C@H](O)C[C@H](O)CC([O-])=O)[C@@H]12,14.0,7.85
CCn1nnnc1C(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])=C(c1ccc(F)cc1)c1ccc(F)cc1.[Na+],1100.0,5.96
CC(C)c1nc(Nc2ncnn2C)nc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+],3.0,8.52
O[C@H](C[C@H](O)\C=C\c1c2CCCC(Cc3ccc(Cl)cc3)c2nn1-c1ccc(F)cc1)CC([O-])=O,140.0,6.85
Cc1cc(Cl)cc(CCCOc2ccc(Cl)cc2)c1OCC(O)C[C@@H](O)CC([O-])=O,50.0,7.3
Cc1nc(-c2ccccc2)cc(-c2ccc(F)cc2)c1/C=C\[C@@H]1C[C@@H](O)CC(=O)O1,100.0,7.0
CCC1CCCc2c1nn(-c1ccc(F)cc1)c2/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+],2000.0,5.7
CC(C)c1nc2ccc(F)cc2c(-c2ccc(F)cc2)c1\C=C\[C@@H]1C[C@@H](O)CC(=O)O1,200.0,6.7
CCOC(=O)c1c(-c2ccccc2)c(-c2ccccc2)n(CC[C@@H]2C[C@@H](O)CC(=O)O2)c1C(C)C,170.0,6.77
Cc1cc(Cl)c(/C=C/[C@@H]2C[C@@H](O)CC(=O)O2)c(-c2ccc(F)c(C)c2)c1,13.0,7.89
CCn1nnc(n1)C(\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)=C(c1ccc(F)cc1)c1ccc(F)cc1,200000.0,3.7
CC(C)c1nc(nc(-c2ccc(F)cc2)c1\C=C\[C@@H](O)C[C@@H](O)CC(O)=O)N(c1ncnn1C)S(C)(=O)=O,2.9,8.54
COc1ccc(cc1)C(c1ccc(F)cc1)c1cc(C)cc(C)c1OCC(O)C[C@@H](O)CC([O-])=O,100.0,7.0
CCN(Cc1ccccc1)C(=O)c1nn(-c2ccc(F)cc2)c(OC[C@@H](O)C[C@@H](O)CC(=O)O)c1C(C)C,14.0,7.85
Cc1cc(Cl)cc(C(c2ccc(F)cc2)c2ccc(F)cc2)c1OCC(O)C[C@@H](O)CC([O-])=O,70.0,7.15
CCOC(=O)c1c(-c2ccccc2)c(-c2ccc(F)cc2)n(CC[C@@H]2C[C@@H](O)CC(=O)O2)c1C(C)C,200.0,6.7
CC(C)c1ccc(-c2ccc(F)cc2)n1CC(C)[C@@H]1C[C@@H](O)CC(=O)O1,5000.0,5.3
Cc1ccc(/C=C/[C@@H]2C[C@@H](O)CC(=O)O2)c(C)c1,29900.0,4.52
Cn1nnnc1C(C=C=C[C@@H](O)C[C@@H](O)CC([O-])=O)=C(c1ccc(F)cc1)c1ccc(F)cc1,5700.0,5.24
CC(C)c1nn(-c2cccc3ccccc23)c(-c2ccc(F)cc2)c1CC[C@H]1C[C@H](O)CC(=O)O1,234.0,6.63
CCc1nc(-c2ccccc2)cc(-c2ccc(F)cc2)c1CCC1C[C@@H](O)CC(=O)O1,3.0,8.52
CC(C)c1nc(Nc2nnnn2C)nc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+],0.9,9.05
CC(C)c1nc(N(C)c2nnnn2C)nc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+],0.5,9.3
O[C@H](CCn1c(nc(c1-c1ccc(F)cc1)-c1ccccc1)C(F)(F)F)C[C@@H](O)CC([O-])=O,31.0,7.51
COC(=O)C[C@H](O)C[C@H](O)CCn1c(C(C)C)cc(-c2ccc(F)cc2)c1-c1ccc(F)cc1,105.0,6.98
Cc1ccc(CN(C)C(=O)c2nn(-c3ccc(F)cc3)c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c2C(C)C)cc1.[Na+],9.9,8.0
COC(=O)C[C@H](O)C[C@H](O)/C=C/n1c(C(C)C)cc(-c2ccccc2)c1-c1ccc(F)cc1,2.0,8.7
O=C([O-])C[C@H](O)CC(O)COc1c(Cl)cc(Cl)cc1-c1ccccc1.[Na+],190.0,6.72
CC(C)c1c(-c2ccccc2)cc(-c2ccc(F)cc2)n1CC[C@@H]1C[C@@H](O)CC(=O)O1,120.0,6.92
CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@]12C,3.0,8.52
CC(C)c1cc(-c2cccnc2)c(-c2ccc(F)cc2)n1CC[C@@H]1C[C@@H](O)CC(=O)O1,71.0,7.15
CC(C)c1sc(-c2ccccc2)c(-c2ccc(-c3ccccc3)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+],10000.0,5.0
CCn1nnc(C(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])=C(c2ccc(F)cc2)c2ccc(F)cc2)n1.[Na+],200000.0,3.7
Cc1ccc(CNC(=O)c2nc(-c3ccc(F)cc3)n(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c2C2CC2)cc1.[Na+],1.7,8.77
CC(C)c1c(O)c(C(C)C)c(C(C)C)c(OCC(O)C[C@@H](O)CC(=O)[O-])c1-c1ccc(F)cc1.[Na+],20.0,7.7
CC(C)c1c(OC[C@@H](O)C[C@@H](O)CC(O)=O)n(nc1C(=O)N(C)Cc1ccc(F)cc1)-c1ccc(F)cc1,18.0,7.74
CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c(-c2ccccn2)c1C(N)=O.[Na+],5.3,8.28
CC(C)c1nc(C)cc(-c2ccc(F)cc2)c1\C=C\[C@@H]1C[C@@H](O)CC(=O)O1,9.0,8.05
CC(C)c1nc(Nc2cc(nn2C)C(C)(C)C)nc(-c2ccc(F)cc2)c1\C=C\[C@@H](O)C[C@@H](O)CC(O)=O,12.4,7.91
C[C@@]1(O)C[C@H](OC(=O)C1)\C=C\c1ccc(Cl)cc1Cl,20000.0,4.7
Cc1cc(-c2cccc(Cl)c2/C=C/[C@@H]2C[C@@H](O)CC(=O)O2)ccc1F,30.0,7.52
Cc1ccc(cc1)-c1cc(Cl)cc(Cl)c1\C=C\[C@@H]1C[C@@H](O)CC(=O)O1,190.0,6.72
C=C(C)C[C@H](OC(=O)C(C)(C)CC)C1[C@H](O)CC[C@H](C)[C@@H]1CC[C@@H]1C[C@@H](O[Si](C)(C)C(C)(C)C)CC(=O)O1,1700.0,5.77
CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)C21,0.9,9.05
COc1ccc(-c2c(-c3ccc(F)cc3)nc(C(F)(F)F)n2CC[C@@H](O)C[C@@H](O)CC(=O)[O-])cc1.[Na+],418.0,6.38
Cc1ccc(C2CC3C=CC2CC3)n1CC[C@@H]1C[C@@H](O)CC(=O)O1,1300.0,5.89
CC(CCc1ccc2c(c1)-c1ccccc1S2(=O)=O)CC(O)=O,30000.0,4.52
CCCCCCCCCCC(O)(CC(O)=O)CC(O)=O,100000.0,4.0
CCC(C)(C)C(=O)O[C@H]1C[C@H](C[C@@H]2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12)\C=C\Cc1ccccc1,20.0,7.7
CC(C)c1c(C(=O)NCc2ccccc2Cl)nn(-c2ccc(F)cc2)c1OC[C@@H](O)C[C@@H](O)CC(=O)O,9.5,8.02
O=C([O-])C[C@H](O)C[C@H](O)/C=C/n1c(C(F)(F)F)nc(-c2ccc(F)cc2)c1-c1ccc(F)cc1.[Na+],13.0,7.89
O=C1C[C@H](O)C[C@@H](/C=C/c2ccc(Cl)cc2Cl)O1,22000.0,4.66
Cc1cc(C)c(/C=C/[C@@H]2C[C@@H](O)CC(=O)O2)c(-c2cc(C)c(F)c(C)c2)c1,10.0,8.0
CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c(c(c1C(N)=O)-c1ccccn1)-c1ccc(F)cc1,5.3,8.28
CCn1nnnc1C(\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)=C(c1ccc(F)cc1)c1ccc(F)cc1,1100.0,5.96
C[C@@H]1C[C@H](OC(=O)CC(C)=C)C2[C@@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H](C)C=CC2=C1,2.9,8.54
CC(C)c1c(cc(-c2ccc(F)cc2)n1CC[C@@H]1C[C@@H](O)CC(=O)O1)-c1ccccc1,120.0,6.92
CC[C@H](C)C(=O)O[C@H]1C[C@H]2[C@@H](CC[C@@H]3C[C@H](O)CC[C@]23C)[C@@H]2CCC(CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@]12C,200.0,6.7
OC(COc1cc(OCc2ccc(F)cc2)c(Cl)cc1Cl)C[C@@H](O)CC([O-])=O,260.0,6.59
Cc1c(C(=O)NCc2ccccc2)nc(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+],94.0,7.03
COc1cccc(CNC(=O)c2nn(-c3ccc(F)cc3)c(OC[C@@H](O)C[C@@H](O)CC(=O)O)c2C(C)C)c1,16.0,7.8
CCOC(=O)c1c(C(=O)OCC)c(C(C)C)n(CC[C@@H]2C[C@@H](O)CC(=O)O2)c1-c1ccc(F)cc1,350.0,6.46
Cc1ccc(C2CC3CCC2C=C3)n1CC[C@@H]1C[C@@H](O)CC(=O)O1,1260.0,5.9
Cc1nc(C)c(CCC2C[C@@H](O)CC(=O)O2)c(-c2ccc(F)cc2)n1,1000.0,6.0
CC(C)c1nn(-c2ccccc2)c(-c2ccc(F)cc2)c1CC[C@@H]1C[C@H](O)CC(=O)O1,700.0,6.15
Cc1ccc(C(=C(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c2nnnn2C)c2ccc(C)cc2)cc1.[Na+],1300.0,5.89
COCc1cccc(CNC(=O)c2nn(-c3ccc(F)cc3)c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c2C(C)C)c1.[Na+],7.0,8.15
CC(C)n1c(\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)c(-c2ccc(F)cc2)c2ccccc12,2.5,8.6
O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1c(Cl)cc(Cl)cc1OCc1c(F)c(F)c(F)c(F)c1F,700.0,6.15
CCc1cccc(-c2cc(Cl)cc(Cl)c2/C=C/[C@@H]2C[C@@H](O)CC(=O)O2)c1,44.0,7.36
CC(C)c1cc(c(-c2ccc(F)cc2)n1CC[C@@H]1C[C@@H](O)CC(=O)O1)-c1ccncc1,310.0,6.51
CC(C)c1c(OC[C@@H](O)C[C@@H](O)CC(O)=O)n(nc1C(=O)NCc1ccccc1C)-c1ccc(F)cc1,17.0,7.77
CC(C)c1nc(-c2ccc(F)cc2)c(-c2ccc(F)cc2)n1/C=C/[C@H](O)C[C@H](O)CC(=O)O,700.0,6.15
Cc1nc(C)c(CCC2C[C@@H](O)CC(=O)O2)c(n1)-c1ccc(F)cc1,1000.0,6.0
CCCCCCCCc1c(\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)c(sc1-c1ccccc1)C(C)C,10000.0,5.0
CC[C@H](C)C(=O)O[C@H]1C[C@H]2[C@@H](CC[C@@H]3C[C@H](O)CC[C@]23C)[C@@H]2CCC(CC[C@H]3C[C@@H](O)CC(=O)O3)[C@@]12C,1000.0,6.0
CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)C12,2.2,8.66
CC(C)c1sc(C)c(c1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)-c1ccccc1,94.0,7.03
O[C@@H]1C[C@H](OC(=O)C1)C=C1c2ccccc2-c2ccccc12,890.0,6.05
O[C@H](C[C@H](O)\C=C\c1c2CCCC(Cc3ccc(cc3)-c3ccccc3)c2nn1-c1ccc(F)cc1)CC([O-])=O,3.0,8.52
Cc1cc(Cl)cc(CC2CCCCC2)c1OCC(O)C[C@@H](O)CC(=O)[O-].[Na+],75.0,7.12
COc1cccc(Sc2c(F)cc3c(Sc4cccc(OC)c4)c(\C=C\[C@@H]4C[C@@H](O)CC(=O)O4)cnc3c2Sc2cccc(OC)c2)c1,74600.0,4.13
O[C@H](CCn1c(nc(C(=O)NCc2ccc(F)cc2)c1C1CC1)-c1ccc(F)cc1)C[C@@H](O)CC([O-])=O,3.4,8.47
CC(C)c1c(\C=C\[C@@H]2C[C@@H](O)CC(=O)O2)c(-c2ccc(F)cc2)c2cc(F)ccc2[n+]1[O-],79.0,7.1
CC(C)c1nc(Nc2ccon2)nc(-c2ccc(F)cc2)c1\C=C\[C@@H](O)C[C@@H](O)CC(O)=O,2.3,8.64
O=C([O-])C[C@H](O)C[C@H](O)CCn1c(C(F)(F)F)nc(-c2ccc(F)cc2)c1-c1cccnc1.[Na+],1000.0,6.0
Cc1cc(C)c(/C=C/[C@@H]2C[C@@H](O)CC(=O)O2)c(-c2ccc(F)cc2)c1,13.0,7.89
Cc1ccc(CNC(=O)c2nn(-c3ccc(F)cc3)c(OC[C@@H](O)C[C@@H](O)CC(=O)O)c2C(C)C)cc1,15.0,7.82
Cc1ccc(CN(C)C(=O)c2nn(-c3ccc(F)cc3)c(OC[C@@H](O)C[C@@H](O)CC(=O)O)c2C(C)C)cc1,37.0,7.43
Cc1ccc(-c2nc(C(F)(F)F)n(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c2-c2ccc(F)cc2)cc1.[Na+],43.0,7.37
CC(C)c1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])nn(-c2ccc(F)cc2)c1C(=O)NCc1ccccc1.[Na+],520.0,6.28
O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c2c(nn1-c1ccc(F)cc1)C(Cc1ccc3ccccc3c1)CCC2.[Na+],9.0,8.05
CC(CCc1ccc(-c2ccccc2)cc1)CC(=O)O,2000.0,5.7
[Na+].O[C@H](C[C@H](O)\C=C\c1c(Cl)cc(Cl)cc1-c1ccc(F)cc1)CC([O-])=O,4.5,8.35
O[C@H](C[C@H](O)\C=C\c1c2CCCCc2nn1-c1ccc(F)cc1)CC([O-])=O,5300.0,5.28
O=C1C[C@H](O)C[C@@H](/C=C/c2cccc3ccc4ccccc4c23)O1,1900.0,5.72
CC(C)c1c(C(=O)NCc2ccc(F)cc2)nn(-c2ccc(F)cc2)c1CC[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+],3.8,8.42
O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1ccc(cc1)-c1ccccc1,55000.0,4.26
CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C[C@@H]2C=C[C@H](C)[C@H](CCC(=O)C[C@@H](O)CC(=O)O)C12,1.0,9.0
O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1cccc2ccc3ccccc3c12,1900.0,5.72
CC(C)c1nc(-c2ccccc2)cc(-c2ccc(C(F)(F)F)cc2)c1/C=C/[C@@H]1C[C@@H](O)CC(=O)O1,36.0,7.44
Cc1ccc(-c2ccccc2O)n1CC[C@@H]1C[C@@H](O)CC(=O)O1,2500.0,5.6
COc1ccccc1CNC(=O)c1nn(c(OC[C@@H](O)C[C@@H](O)CC(O)=O)c1C(C)C)-c1ccc(F)cc1,22.0,7.66
CC(C)(C)c1ccc(CC2CCCc3c2nn(c3\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)-c2ccc(F)cc2)cc1,14.0,7.85
CC(C)OC1C[C@H](OCc2ccccc2)C[C@@H](CCn2c(-c3ccc(F)cc3)c(-c3ccccc3)c(C(=O)Nc3ccccc3)c2C(C)C)O1,4.0,8.4
CC(C)c1c(c(c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC([O-])=O)-c1ccccc1)S(=O)(=O)N1CCCC1,2.6,8.59
COc1ccc(CNC(=O)c2nn(c(OC[C@@H](O)C[C@@H](O)CC(O)=O)c2C(C)C)-c2ccc(F)cc2)cc1,12.0,7.92
CC(C)c1nn(c(c1CC[C@H]1C[C@H](O)CC(=O)O1)-c1ccc(F)cc1)S(=O)(=O)c1ccc(C)cc1,660.0,6.18
CCC/C(C)=C/[C@@H]1C[C@H](OC(=O)[C@@H](C)CC)[C@@H]2[C@@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H](C)C=C[C@H]2C1,20.0,7.7
CCC(C)C1CCCc2c1nn(-c1ccc(F)cc1)c2/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+],3200.0,5.49
Cc1ccc(C2CC3CC2C=C3)n1CC[C@@H]1C[C@@H](O)CC(=O)O1,1590.0,5.8
CC(CCc1ccc2c(c1)-c1ccccc1S2(=O)=O)CC(=O)O,30000.0,4.52
O=C([O-])C[C@H](O)C[C@H](O)CCn1c(C(F)(F)F)nc(-c2ccc(F)cc2)c1-c1cccc(Cl)c1.[Na+],41.0,7.39
COC(=O)C[C@H](O)C[C@H](O)\C=C\n1c(C(C)C)c(Br)c(c1-c1ccc(F)cc1)-c1ccc(F)cc1,0.3,9.52
CCC(C)(C)C(=O)O[C@H]1C[C@](C)(C[C@@H]2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12)\C=C\C,5.0,8.3
Cc1cccc(CN(C)C(=O)c2nn(-c3ccc(F)cc3)c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c2C(C)C)c1.[Na+],6.1,8.21
O=C([O-])C[C@H](O)C[C@H](O)CCn1c(C(F)(F)F)nc(-c2cccs2)c1-c1ccc(F)cc1.[Na+],64.0,7.19
CC(CC(=O)O)CC(=O)c1ccc2c(c1)-c1ccccc1CC2,30000.0,4.52
CCC(CC)(c1ccccc1)c1ccc(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2cccc(F)c2)c1.[Na+],1200.0,5.92
